date,time,exit_time,mode,trade_id,type,signal,symbol,entry,exit,qty,pnl,reason
2026-05-05,09:49:52,09:54:02,PAPER,OK20260505094952,HALF,CE,NIFTY05MAY2624050CE,54.65,68.25,130,1768.0000000000002,TARGET HIT
2026-05-05,09:59:10,10:00:38,PAPER,OK20260505095910,HALF,CE,NIFTY05MAY2624050CE,55.05,53.1,195,-380.24999999999915,SL HIT
2026-05-05,10:06:15,10:12:32,PAPER,OK20260505100615,HALF,PE,NIFTY05MAY2623950PE,36.6,35.85,260,-195.0,SL HIT
2026-05-05,11:05:02,11:07:43,PAPER,OK20260505110502,HALF,CE,NIFTY05MAY2624000CE,29.05,23.2,325,-1901.2500000000005,SL HIT
2026-05-05,11:11:24,11:16:25,PAPER,OK20260505111124,HALF,CE,NIFTY05MAY2623950CE,45.5,55.3,195,1910.9999999999995,TARGET HIT
2026-05-05,11:16:37,11:19:52,PAPER,OK20260505111637,HALF,CE,NIFTY05MAY2624000CE,31.25,24.4,260,-1781.0000000000005,SL HIT
2026-05-05,11:33:25,11:38:17,PAPER,OK20260505113325,HALF,CE,NIFTY05MAY2624000CE,32.05,25.2,260,-1780.9999999999995,SL HIT
2026-05-05,11:41:21,11:41:54,PAPER,OK20260505114121,HALF,PE,NIFTY05MAY2623900PE,30.05,31.15,260,285.99999999999943,SL HIT
2026-05-05,11:42:06,11:46:06,PAPER,OK20260505114206,HALF,PE,NIFTY05MAY2623900PE,33.5,41.6,260,2106.0000000000005,TARGET HIT
2026-05-05,11:47:10,11:48:58,PAPER,OK20260505114710,HALF,PE,NIFTY05MAY2623900PE,40.55,40.1,195,-87.74999999999918,SL HIT
2026-05-05,11:51:06,11:53:56,PAPER,OK20260505115106,HALF,PE,NIFTY05MAY2623850PE,23.1,17.4,390,-2223.000000000001,SL HIT
2026-05-05,11:55:26,11:57:36,PAPER,OK20260505115526,HALF,PE,NIFTY05MAY2623850PE,23.0,22.75,390,-97.5,SL HIT
2026-05-05,12:20:04,12:21:26,PAPER,OK20260505122004,HALF,CE,NIFTY05MAY2624000CE,26.1,33.0,325,2242.4999999999995,TARGET HIT
2026-05-05,12:21:40,12:24:17,PAPER,OK20260505122140,HALF,CE,NIFTY05MAY2624000CE,32.35,33.65,260,337.99999999999926,SL HIT
2026-05-05,12:31:09,12:32:28,PAPER,OK20260505123109,HALF,CE,NIFTY05MAY2624000CE,24.75,17.35,390,-2885.9999999999995,SL HIT
2026-05-05,12:34:47,12:37:21,PAPER,OK20260505123447,HALF,CE,NIFTY05MAY2624000CE,25.8,31.45,325,1836.2499999999995,TARGET HIT
2026-05-05,12:37:33,12:41:41,PAPER,OK20260505123733,HALF,CE,NIFTY05MAY2624000CE,29.35,28.95,325,-130.00000000000068,SL HIT
2026-05-05,12:46:17,12:47:12,PAPER,OK20260505124617,HALF,CE,NIFTY05MAY2624000CE,26.85,32.65,325,1884.999999999999,TARGET HIT
2026-05-05,12:47:24,12:49:42,PAPER,OK20260505124724,HALF,CE,NIFTY05MAY2624000CE,30.45,29.65,325,-260.0000000000002,SL HIT
2026-05-05,12:51:08,12:55:18,PAPER,OK20260505125108,HALF,CE,NIFTY05MAY2624000CE,38.8,31.0,260,-2027.9999999999993,SL HIT
2026-05-05,12:56:53,12:59:46,PAPER,OK20260505125653,HALF,CE,NIFTY05MAY2624000CE,36.6,50.05,260,3496.999999999999,TARGET HIT
2026-05-05,12:59:58,13:00:54,PAPER,OK20260505125958,HALF,CE,NIFTY05MAY2624050CE,26.35,26.4,390,19.49999999999889,SL HIT
2026-05-05,13:01:06,13:06:55,PAPER,OK20260505130106,HALF,CE,NIFTY05MAY2624050CE,28.0,38.5,390,4095.0,TARGET HIT
2026-05-05,13:07:17,13:08:01,PAPER,OK20260505130717,HALF,CE,NIFTY05MAY2624100CE,23.0,29.25,520,3250.0,TARGET HIT
2026-05-05,13:08:23,13:08:35,PAPER,OK20260505130823,HALF,CE,NIFTY05MAY2624100CE,33.4,32.8,390,-234.00000000000057,DAILY PROFIT FLOOR
2026-05-05,13:27:31,13:28:36,PAPER,OK20260505132731,HALF,CE,NIFTY05MAY2624050CE,37.7,32.6,390,-1989.0000000000005,DAILY PROFIT FLOOR
2026-05-05,13:30:04,13:32:58,PAPER,OK20260505133004,HALF,CE,NIFTY05MAY2624050CE,31.85,24.55,390,-2847.0000000000005,SL HIT
2026-05-05,13:40:41,13:44:16,PAPER,OK20260505134041,HALF,CE,NIFTY05MAY2624050CE,35.05,34.55,325,-162.5,SL HIT
2026-05-05,13:48:09,13:51:45,PAPER,OK20260505134809,HALF,CE,NIFTY05MAY2624050CE,37.1,25.0,325,-3932.5000000000005,SL HIT
2026-05-05,13:53:33,13:53:55,PAPER,OK20260505135333,HALF,CE,NIFTY05MAY2624050CE,32.4,24.15,260,-2145.0,SL HIT
2026-05-05,13:57:27,13:58:32,PAPER,OK20260505135727,HALF,CE,NIFTY05MAY2624050CE,29.9,28.8,260,-285.99999999999943,SL HIT
2026-05-05,14:02:25,14:03:10,PAPER,OK20260505140225,HALF,CE,NIFTY05MAY2624050CE,29.55,22.45,260,-1846.0000000000005,SL HIT
2026-05-05,14:20:02,14:20:57,PAPER,OK20260505142002,HALF,CE,NIFTY05MAY2624050CE,22.65,27.9,390,2047.5,TARGET HIT
2026-05-05,14:25:43,14:28:05,PAPER,OK20260505142543,HALF,CE,NIFTY05MAY2624050CE,20.2,20.6,520,208.0000000000011,SL HIT
2026-05-05,14:29:21,14:30:38,PAPER,OK20260505142921,HALF,CE,NIFTY05MAY2624050CE,30.4,23.7,325,-2177.4999999999995,SL HIT
2026-05-05,14:32:15,14:33:52,PAPER,OK20260505143215,HALF,CE,NIFTY05MAY2624050CE,21.45,17.0,455,-2024.7499999999998,SL HIT
2026-05-05,14:35:10,14:37:44,PAPER,OK20260505143510,HALF,CE,NIFTY05MAY2624000CE,47.2,35.35,130,-1540.5000000000002,SL HIT
2026-05-05,14:43:04,14:44:21,PAPER,OK20260505144304,HALF,CE,NIFTY05MAY2624000CE,52.0,46.9,130,-663.0000000000002,DAILY LOSS LIMIT
