date,time,exit_time,mode,trade_id,type,signal,symbol,entry,exit,qty,gross_pnl,charges,net_pnl,pnl,brokerage,stt,transaction,gst,stamp,sebi,reason
2026-05-06,10:02:32,10:10:39,PAPER,OK20260506100232,HALF,PE,NIFTY12MAY2624100PE,167.25,172.5,65,341.25,73.63,267.62,267.62,40.0,16.82,7.84,8.62,0.33,0.02,REVERSAL EXIT: PE lost VWAP with two green candles
2026-05-06,10:11:12,10:11:25,PAPER,OK20260506101112,HALF,PE,NIFTY12MAY2624100PE,171.35,167.85,65,-227.5,73.17,-300.67,-300.67,40.0,16.37,7.83,8.61,0.33,0.02,REVERSAL EXIT: PE lost VWAP with two green candles
2026-05-06,10:12:18,10:13:24,PAPER,OK20260506101218,HALF,PE,NIFTY12MAY2624100PE,174.2,159.35,65,-965.2499999999997,72.19,-1037.4399999999996,-1037.4399999999996,40.0,15.54,7.7,8.59,0.34,0.02,REVERSAL EXIT: PE lost VWAP with two green candles
2026-05-06,10:13:47,10:13:59,PAPER,OK20260506101347,HALF,PE,NIFTY12MAY2624100PE,159.1,155.05,65,-263.24999999999886,71.21,-334.45999999999884,-334.45999999999884,40.0,15.12,7.25,8.51,0.31,0.02,REVERSAL EXIT: Supertrend flipped UP
2026-05-06,10:37:15,10:38:54,PAPER,OK20260506103715,FULL,PE,NIFTY12MAY2624100PE,165.6,164.3,65,-84.49999999999889,72.56,-157.0599999999989,-157.0599999999989,40.0,16.02,7.62,8.57,0.32,0.02,REVERSAL EXIT: PE lost VWAP with two green candles
2026-05-06,10:39:27,10:39:38,PAPER,OK20260506103927,HALF,PE,NIFTY12MAY2624100PE,162.95,161.25,65,-110.49999999999926,72.1,-182.59999999999926,-182.59999999999926,40.0,15.72,7.49,8.55,0.32,0.02,REVERSAL EXIT: PE lost VWAP with two green candles
2026-05-06,10:39:50,10:40:13,PAPER,OK20260506103950,HALF,PE,NIFTY12MAY2624100PE,162.35,164.6,65,146.25,72.5,73.75,73.75,40.0,16.05,7.55,8.56,0.32,0.02,REVERSAL EXIT: PE lost VWAP with two green candles
2026-05-06,10:51:49,11:01:17,PAPER,OK20260506105149,FULL,PE,NIFTY12MAY2624100PE,167.75,173.05,65,344.50000000000074,73.71,270.79000000000076,270.79000000000076,40.0,16.87,7.87,8.62,0.33,0.02,REVERSAL EXIT: PE lost VWAP with two green candles
2026-05-06,11:02:21,11:06:30,PAPER,OK20260506110221,HALF,PE,NIFTY12MAY2624050PE,156.6,163.25,65,432.25000000000034,72.16,360.0900000000004,360.0900000000004,40.0,15.92,7.38,8.53,0.31,0.02,REVERSAL EXIT: PE lost VWAP with two green candles
2026-05-06,11:07:25,11:08:10,PAPER,OK20260506110725,HALF,PE,NIFTY12MAY2624000PE,145.1,139.5,65,-363.99999999999966,68.86,-432.8599999999997,-432.8599999999997,40.0,13.6,6.57,8.39,0.28,0.02,REVERSAL EXIT: PE lost VWAP with two green candles
