timestamp,event,trade_id,mode,trade_type,signal,symbol,entry,exit,ltp,qty,pnl,reason,capital,daily_pnl
2026-05-05T09:49:53,ENTRY,OK20260505094952,PAPER,HALF,CE,NIFTY05MAY2624050CE,54.65,,54.65,130,,PAPER ENTRY,20000.0,0.0
2026-05-05T09:54:02,EXIT,OK20260505094952,PAPER,HALF,CE,NIFTY05MAY2624050CE,54.65,68.25,68.25,130,1768.0000000000002,TARGET HIT,21768.0,1768.0000000000002
2026-05-05T09:59:11,ENTRY,OK20260505095910,PAPER,HALF,CE,NIFTY05MAY2624050CE,55.05,,55.05,195,,PAPER ENTRY,21768.0,1768.0000000000002
2026-05-05T10:00:38,EXIT,OK20260505095910,PAPER,HALF,CE,NIFTY05MAY2624050CE,55.05,53.1,53.1,195,-380.24999999999915,SL HIT,21387.75,1387.7500000000011
2026-05-05T10:06:16,ENTRY,OK20260505100615,PAPER,HALF,PE,NIFTY05MAY2623950PE,36.6,,36.6,260,,PAPER ENTRY,21387.75,1387.7500000000011
2026-05-05T10:12:32,EXIT,OK20260505100615,PAPER,HALF,PE,NIFTY05MAY2623950PE,36.6,35.85,35.85,260,-195.0,SL HIT,21192.75,1192.7500000000011
2026-05-05T11:05:03,ENTRY,OK20260505110502,PAPER,HALF,CE,NIFTY05MAY2624000CE,29.05,,29.05,325,,PAPER ENTRY,20000.0,0.0
2026-05-05T11:07:43,EXIT,OK20260505110502,PAPER,HALF,CE,NIFTY05MAY2624000CE,29.05,23.2,23.2,325,-1901.2500000000005,SL HIT,18098.75,-1901.2500000000005
2026-05-05T11:11:25,ENTRY,OK20260505111124,PAPER,HALF,CE,NIFTY05MAY2623950CE,45.5,,45.5,195,,PAPER ENTRY,18098.75,-1901.2500000000005
2026-05-05T11:16:25,EXIT,OK20260505111124,PAPER,HALF,CE,NIFTY05MAY2623950CE,45.5,55.3,55.3,195,1910.9999999999995,TARGET HIT,20009.75,9.74999999999909
2026-05-05T11:16:38,ENTRY,OK20260505111637,PAPER,HALF,CE,NIFTY05MAY2624000CE,31.25,,31.25,260,,PAPER ENTRY,20009.75,9.74999999999909
2026-05-05T11:19:52,EXIT,OK20260505111637,PAPER,HALF,CE,NIFTY05MAY2624000CE,31.25,24.4,24.4,260,-1781.0000000000005,SL HIT,18228.75,-1771.2500000000014
2026-05-05T11:33:26,ENTRY,OK20260505113325,PAPER,HALF,CE,NIFTY05MAY2624000CE,32.05,,32.05,260,,PAPER ENTRY,20000.0,0.0
2026-05-05T11:38:17,EXIT,OK20260505113325,PAPER,HALF,CE,NIFTY05MAY2624000CE,32.05,25.2,25.2,260,-1780.9999999999995,SL HIT,18219.0,-1780.9999999999995
2026-05-05T11:41:22,ENTRY,OK20260505114121,PAPER,HALF,PE,NIFTY05MAY2623900PE,30.05,,30.05,260,,PAPER ENTRY,18219.0,-1780.9999999999995
2026-05-05T11:41:54,EXIT,OK20260505114121,PAPER,HALF,PE,NIFTY05MAY2623900PE,30.05,31.15,31.15,260,285.99999999999943,SL HIT,18505.0,-1495.0
2026-05-05T11:42:07,ENTRY,OK20260505114206,PAPER,HALF,PE,NIFTY05MAY2623900PE,33.5,,33.5,260,,PAPER ENTRY,18505.0,-1495.0
2026-05-05T11:46:06,EXIT,OK20260505114206,PAPER,HALF,PE,NIFTY05MAY2623900PE,33.5,41.6,41.6,260,2106.0000000000005,TARGET HIT,20611.0,611.0000000000005
2026-05-05T11:47:11,ENTRY,OK20260505114710,PAPER,HALF,PE,NIFTY05MAY2623900PE,40.55,,40.55,195,,PAPER ENTRY,20611.0,611.0000000000005
2026-05-05T11:48:58,EXIT,OK20260505114710,PAPER,HALF,PE,NIFTY05MAY2623900PE,40.55,40.1,40.1,195,-87.74999999999918,SL HIT,20523.25,523.2500000000013
2026-05-05T11:51:06,ENTRY,OK20260505115106,PAPER,HALF,PE,NIFTY05MAY2623850PE,23.1,,23.1,390,,PAPER ENTRY,20523.25,523.2500000000013
2026-05-05T11:53:56,EXIT,OK20260505115106,PAPER,HALF,PE,NIFTY05MAY2623850PE,23.1,17.4,17.4,390,-2223.000000000001,SL HIT,18300.25,-1699.7499999999995
2026-05-05T11:55:26,ENTRY,OK20260505115526,PAPER,HALF,PE,NIFTY05MAY2623850PE,23.0,,23.0,390,,PAPER ENTRY,18300.25,-1699.7499999999995
2026-05-05T11:57:36,EXIT,OK20260505115526,PAPER,HALF,PE,NIFTY05MAY2623850PE,23.0,22.75,22.75,390,-97.5,SL HIT,18202.75,-1797.2499999999995
2026-05-05T12:20:05,ENTRY,OK20260505122004,PAPER,HALF,CE,NIFTY05MAY2624000CE,26.1,,26.1,325,,PAPER ENTRY,18202.75,-1797.2499999999995
2026-05-05T12:21:26,EXIT,OK20260505122004,PAPER,HALF,CE,NIFTY05MAY2624000CE,26.1,33.0,33.0,325,2242.4999999999995,TARGET HIT,20445.25,445.25
2026-05-05T12:21:42,ENTRY,OK20260505122140,PAPER,HALF,CE,NIFTY05MAY2624000CE,32.35,,32.35,260,,PAPER ENTRY,20445.25,445.25
2026-05-05T12:24:17,EXIT,OK20260505122140,PAPER,HALF,CE,NIFTY05MAY2624000CE,32.35,33.65,33.65,260,337.99999999999926,SL HIT,20783.25,783.2499999999993
2026-05-05T12:31:11,ENTRY,OK20260505123109,PAPER,HALF,CE,NIFTY05MAY2624000CE,24.75,,24.75,390,,PAPER ENTRY,20783.25,783.2499999999993
2026-05-05T12:32:28,EXIT,OK20260505123109,PAPER,HALF,CE,NIFTY05MAY2624000CE,24.75,17.35,17.35,390,-2885.9999999999995,SL HIT,17897.25,-2102.75
2026-05-05T12:34:48,ENTRY,OK20260505123447,PAPER,HALF,CE,NIFTY05MAY2624000CE,25.8,,25.8,325,,PAPER ENTRY,17897.25,-2102.75
2026-05-05T12:37:21,EXIT,OK20260505123447,PAPER,HALF,CE,NIFTY05MAY2624000CE,25.8,31.45,31.45,325,1836.2499999999995,TARGET HIT,19733.5,-266.50000000000045
2026-05-05T12:37:34,ENTRY,OK20260505123733,PAPER,HALF,CE,NIFTY05MAY2624000CE,29.35,,29.35,325,,PAPER ENTRY,19733.5,-266.50000000000045
2026-05-05T12:41:41,EXIT,OK20260505123733,PAPER,HALF,CE,NIFTY05MAY2624000CE,29.35,28.95,28.95,325,-130.00000000000068,SL HIT,19603.5,-396.50000000000114
2026-05-05T12:46:18,ENTRY,OK20260505124617,PAPER,HALF,CE,NIFTY05MAY2624000CE,26.85,,26.85,325,,PAPER ENTRY,19603.5,-396.50000000000114
2026-05-05T12:47:12,EXIT,OK20260505124617,PAPER,HALF,CE,NIFTY05MAY2624000CE,26.85,32.65,32.65,325,1884.999999999999,TARGET HIT,21488.5,1488.499999999998
2026-05-05T12:47:25,ENTRY,OK20260505124724,PAPER,HALF,CE,NIFTY05MAY2624000CE,30.45,,30.45,325,,PAPER ENTRY,21488.5,1488.499999999998
2026-05-05T12:49:42,EXIT,OK20260505124724,PAPER,HALF,CE,NIFTY05MAY2624000CE,30.45,29.65,29.65,325,-260.0000000000002,SL HIT,21228.5,1228.4999999999977
